"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Congressional District 1 - U.S. Representative","John Orlinski","(Prefers Republican Party)",11891,10.08,"Congressional"
"Congressional District 1 - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",59798,50.67,"Congressional"
"Congressional District 1 - U.S. Representative","Mike The Mover","(Prefers National Union Party)",1192,1.01,"Congressional"
"Congressional District 1 - U.S. Representative","Edwin F. Moats","(Prefers G.O.P. Party)",5252,4.45,"Congressional"
"Congressional District 1 - U.S. Representative","Pedro Celis","(Prefers Republican Party)",19407,16.45,"Congressional"
"Congressional District 1 - U.S. Representative","Robert J. Sutherland","(Prefers Republican Party)",18424,15.61,"Congressional"
"Congressional District 1 - U.S. Representative","Richard J. Todd","(States No Party Preference)",2044,1.73,"Congressional"
"Congressional District 2 - U.S. Representative","Mike Lapointe","(Prefers Independent Party)",12844,11.68,"Congressional"
"Congressional District 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",61150,55.59,"Congressional"
"Congressional District 2 - U.S. Representative","B.J. Guillot","(Prefers Republican Party)",36002,32.73,"Congressional"
"Congressional District 3 - U.S. Representative","Bob Dingethal","(Prefers Democratic Party)",45788,37.95,"Congressional"
"Congressional District 3 - U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)",58913,48.83,"Congressional"
"Congressional District 3 - U.S. Representative","Michael Delavar","(Prefers Republican Party)",15959,13.23,"Congressional"
"Congressional District 4 - U.S. Representative","Gavin Seim","(Prefers Republican Party)",2107,1.97,"Congressional"
"Congressional District 4 - U.S. Representative","Estakio Beltran","(Prefers Democratic Party)",13062,12.23,"Congressional"
"Congressional District 4 - U.S. Representative","Dan Newhouse","(Prefers Republican Party)",27326,25.59,"Congressional"
"Congressional District 4 - U.S. Representative","Clint Didier","(Prefers Republican Party)",33965,31.81,"Congressional"
"Congressional District 4 - U.S. Representative","Josh Ramirez","(Prefers Independent Party)",1496,1.4,"Congressional"
"Congressional District 4 - U.S. Representative","Gordon Allen Pross","(Prefers Republican Party)",178,0.17,"Congressional"
"Congressional District 4 - U.S. Representative","Tony Sandoval","(Prefers Democratic Party)",6744,6.32,"Congressional"
"Congressional District 4 - U.S. Representative","Kevin Midbust","(Prefers Republican Party)",161,0.15,"Congressional"
"Congressional District 4 - U.S. Representative","Glen R. Stockwell","(Prefers Republican Party)",547,0.51,"Congressional"
"Congressional District 4 - U.S. Representative","George Cicotte","(Prefers Republican Party)",6863,6.43,"Congressional"
"Congressional District 4 - U.S. Representative","Janea Holmquist","(Prefers Republican Party)",11061,10.36,"Congressional"
"Congressional District 4 - U.S. Representative","Richard Wright","(Prefers Independent Party)",3270,3.06,"Congressional"
"Congressional District 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",74416,51.75,"Congressional"
"Congressional District 5 - U.S. Representative","Dave Wilson","(Prefers Independent Party)",16382,11.39,"Congressional"
"Congressional District 5 - U.S. Representative","Joseph (Joe) Pakootas","(Prefers Democratic Party)",41203,28.65,"Congressional"
"Congressional District 5 - U.S. Representative","Tom Horne","(Prefers Republican Party)",11811,8.21,"Congressional"
"Congressional District 6 - U.S. Representative","Derek Kilmer","(Prefers Democratic Party)",82552,58.7,"Congressional"
"Congressional District 6 - U.S. Representative","W. (Greybeard) McPherson","(States No Party Preference)",4890,3.48,"Congressional"
"Congressional District 6 - U.S. Representative","Marty McClendon","(Prefers Republican Party)",48268,34.32,"Congressional"
"Congressional District 6 - U.S. Representative","Douglas Milholland","(Prefers Green Party)",4918,3.5,"Congressional"
"Congressional District 7 - U.S. Representative","Scott Sutherland","(Prefers Republican Party)",9707,6.54,"Congressional"
"Congressional District 7 - U.S. Representative","GoodSpaceGuy","(Prefers Work and Wealth Party)",1665,1.12,"Congressional"
"Congressional District 7 - U.S. Representative","Jim McDermott","(Prefers Democratic Party)",114039,76.86,"Congressional"
"Congressional District 7 - U.S. Representative","Craig Keller","(Prefers Republican Party)",13586,9.16,"Congressional"
"Congressional District 7 - U.S. Representative","Doug McQuaid","(Prefers Independent Party)",9371,6.32,"Congressional"
"Congressional District 8 - U.S. Representative","Jason Ritchie","(Prefers Democratic Party)",30759,28.81,"Congressional"
"Congressional District 8 - U.S. Representative","Dave Reichert","(Prefers Republican Party)",66715,62.5,"Congressional"
"Congressional District 8 - U.S. Representative","Keith Arnold","(Prefers Democratic Party)",9273,8.69,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",59489,64,"Congressional"
"Congressional District 9 - U.S. Representative","Don Rivers","(Prefers Democratic Party)",5434,5.85,"Congressional"
"Congressional District 9 - U.S. Representative","Mark Greene","(Prefers Citizens Party)",2737,2.94,"Congressional"
"Congressional District 9 - U.S. Representative","Doug Basler","(Prefers Republican Party)",25290,27.21,"Congressional"
"Congressional District 10 - U.S. Representative","Joyce McDonald","(Prefers Republican Party)",41416,41.29,"Congressional"
"Congressional District 10 - U.S. Representative","Denny Heck","(Prefers Democratic Party)",51738,51.58,"Congressional"
"Congressional District 10 - U.S. Representative","Sam Wright","(Prefers The Human Rights Party)",2342,2.33,"Congressional"
"Congressional District 10 - U.S. Representative","Jennifer Gigi Ferguson","(Prefers Independent Party)",4811,4.8,"Congressional"
