"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"President/Vice President","Hillary Clinton / Tim Kaine","Democratic Party Nominees",1742718,54.3,"Federal"
"President/Vice President","Donald J. Trump / Michael R. Pence","Republican Party Nominees",1221747,38.07,"Federal"
"President/Vice President","Alyson Kennedy / Osborne Hart","Socialist Workers Party Nominees",4307,0.13,"Federal"
"President/Vice President","Gloria Estela La Riva / Eugene Puryear","Socialism &amp; Liberation Party Nominees",3523,0.11,"Federal"
"President/Vice President","Jill Stein / Ajamu Baraka","Green Party Nominees",58417,1.82,"Federal"
"President/Vice President","Darrell L. Castle / Scott N. Bradley","Constitution Party Nominees",17623,0.55,"Federal"
"President/Vice President","Gary Johnson / Bill Weld","Libertarian Party Nominees",160879,5.01,"Federal"
"U.S. Senator","Patty Murray","(Prefers Democratic Party)",1913979,59.01,"Federal"
"U.S. Senator","Chris Vance","(Prefers Republican Party)",1329338,40.99,"Federal"
"Congressional District 1 - U.S. Representative","Suzan DelBene ","(Prefers Democratic Party)",193619,55.42,"Congressional"
"Congressional District 1 - U.S. Representative","Robert J. Sutherland","(Prefers Republican Party)",155779,44.58,"Congressional"
"Congressional District 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",208314,64.02,"Congressional"
"Congressional District 2 - U.S. Representative","Marc Hennemann","(Prefers Republican Party)",117094,35.98,"Congressional"
"Congressional District 3 - U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)",193457,61.75,"Congressional"
"Congressional District 3 - U.S. Representative","Jim Moeller","(Prefers Democratic Party)",119820,38.25,"Congressional"
"Congressional District 4 - U.S. Representative","Dan Newhouse","(Prefers Republican Party)",132517,57.64,"Congressional"
"Congressional District 4 - U.S. Representative","Clint Didier","(Prefers Republican Party)",97402,42.36,"Congressional"
"Congressional District 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",192959,59.64,"Congressional"
"Congressional District 5 - U.S. Representative","Joe Pakootas","(Prefers Democratic Party)",130575,40.36,"Congressional"
"Congressional District 6 - U.S. Representative","Derek Kilmer","(Prefers Democratic Party)",201718,61.53,"Congressional"
"Congressional District 6 - U.S. Representative","Todd A. Bloom","(Prefers Republican Party)",126116,38.47,"Congressional"
"Congressional District 7 - U.S. Representative","Pramila Jayapal","(Prefers Democratic Party)",212010,55.98,"Congressional"
"Congressional District 7 - U.S. Representative","Brady Pinero Walkinshaw","(Prefers Democratic Party)",166744,44.02,"Congressional"
"Congressional District 8 - U.S. Representative","Dave Reichert","(Prefers Republican Party)",193145,60.2,"Congressional"
"Congressional District 8 - U.S. Representative","Tony Ventrella","(Prefers Democratic Party)",127720,39.8,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",205165,72.89,"Congressional"
"Congressional District 9 - U.S. Representative","Doug Basler","(Prefers Republican Party)",76317,27.11,"Congressional"
"Congressional District 10 - U.S. Representative","Denny Heck","(Prefers Democratic Party)",170460,58.67,"Congressional"
"Congressional District 10 - U.S. Representative","Jim Postma","(Prefers Republican Party)",120104,41.33,"Congressional"
