"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"President/Vice President","Barack Obama / Joe Biden","Democratic Party Nominees",1755396,56.16,"Federal"
"President/Vice President","Mitt Romney / Paul Ryan","Republican Party Nominees",1290670,41.29,"Federal"
"President/Vice President","Gary Johnson / James P. Gray","Libertarian Party Nominees",42202,1.35,"Federal"
"President/Vice President","Virgil Goode / James N. Clymer","Constitution Party Nominees",8851,0.28,"Federal"
"President/Vice President","Jill Stein / Cheri Honkala","Green Party Nominees",20928,0.67,"Federal"
"President/Vice President","Peta Lindsay / Yari Osorio","Socialism & Liberation Party Nominees",1318,0.04,"Federal"
"President/Vice President","James Harris / Alyson Kennedy","Socialist Workers Party Nominees",1205,0.04,"Federal"
"President/Vice President","Ross C. (Rocky) Anderson / Luis J. Rodriguez","Justice Party Nominees",4946,0.16,"Federal"
"U.S. Senator","Maria Cantwell","(Prefers Democratic Party)",1855493,60.45,"Federal"
"U.S. Senator","Michael Baumgartner","(Prefers Republican Party)",1213924,39.55,"Federal"
"Congressional District 1 - U.S. Representative","John Koster","(Prefers Republican Party)",151187,46.06,"Congressional"
"Congressional District 1 - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",177025,53.94,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","John Koster","(Prefers Republican Party)",141591,39.58,"Congressional"
"Congressional District 1 One Month Short Term - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",216144,60.42,"Congressional"
"Congressional District 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",184826,61.14,"Congressional"
"Congressional District 2 - U.S. Representative","Dan Matthews","(Prefers Republican Party)",117465,38.86,"Congressional"
"Congressional District 3 - U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)",177446,60.38,"Congressional"
"Congressional District 3 - U.S. Representative","Jon T. Haugen","(Prefers Democratic Party)",116438,39.62,"Congressional"
"Congressional District 4 - U.S. Representative","Doc Hastings","(Prefers Republican Party)",154749,66.22,"Congressional"
"Congressional District 4 - U.S. Representative","Mary Baechler","(Prefers Democratic Party)",78940,33.78,"Congressional"
"Congressional District 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",191066,61.92,"Congressional"
"Congressional District 5 - U.S. Representative","Rich Cowan","(Prefers Democratic Party)",117512,38.08,"Congressional"
"Congressional District 6 - U.S. Representative","Derek Kilmer","(Prefers Democratic Party)",186661,59,"Congressional"
"Congressional District 6 - U.S. Representative","Bill Driscoll","(Prefers Republican Party)",129725,41,"Congressional"
"Congressional District 7 - U.S. Representative","Jim McDermott","(Prefers Democratic Party)",298368,79.65,"Congressional"
"Congressional District 7 - U.S. Representative","Ron Bemis","(Prefers Republican Party)",76212,20.35,"Congressional"
"Congressional District 8 - U.S. Representative","Dave Reichert","(Prefers Republican Party)",180204,59.65,"Congressional"
"Congressional District 8 - U.S. Representative","Karen Porterfield","(Prefers Democratic Party)",121886,40.35,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",192034,71.62,"Congressional"
"Congressional District 9 - U.S. Representative","Jim Postma","(Prefers Republican Party)",76105,28.38,"Congressional"
"Congressional District 10 - U.S. Representative","Denny Heck","(Prefers Democratic Party)",163036,58.56,"Congressional"
"Congressional District 10 - U.S. Representative","Richard (Dick) Muri","(Prefers Republican Party)",115381,41.44,"Congressional"
