"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"U.S. Senator","Patty Murray","(Prefers Democratic Party)",1741827,57.15,"Federal"
"U.S. Senator","Tiffany Smiley","(Prefers Republican Party)",1299322,42.63,"Federal"
"U.S. Senator","WRITE-IN"," ",6751,0.22,"Federal"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",181992,63.48,"Congressional"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","Vincent J Cavaleri","(Prefers Republican Party)",104329,36.39,"Congressional"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","WRITE-IN"," ",363,0.13,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",202980,60.07,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Dan Matthews","(Prefers Republican Party)",134335,39.75,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","WRITE-IN"," ",608,0.18,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","Marie Gluesenkamp Perez","(Prefers Democratic Party)",160314,50.14,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","Joe Kent","(Prefers Republican Party)",157685,49.31,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","WRITE-IN"," ",1760,0.55,"Congressional"
"CONGRESSIONAL DISTRICT 4 - U.S. Representative","Dan Newhouse","(Prefers Republican Party)",150619,66.46,"Congressional"
"CONGRESSIONAL DISTRICT 4 - U.S. Representative","Doug White","(Prefers Democratic Party)",70710,31.2,"Congressional"
"CONGRESSIONAL DISTRICT 4 - U.S. Representative","WRITE-IN"," ",5318,2.35,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",188648,59.51,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Natasha Hill","(Prefers Democratic Party)",127585,40.25,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","WRITE-IN"," ",773,0.24,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","Derek Kilmer","(Prefers Democratic Party)",208710,60,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","Elizabeth Kreiselmaier","(Prefers Republican Party)",138754,39.89,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","WRITE-IN"," ",409,0.12,"Congressional"
"CONGRESSIONAL DISTRICT 7 - U.S. Representative","Pramila Jayapal","(Prefers Democratic Party)",295998,85.39,"Congressional"
"CONGRESSIONAL DISTRICT 7 - U.S. Representative","Cliff Moon","(Prefers Republican Party)",49207,14.2,"Congressional"
"CONGRESSIONAL DISTRICT 7 - U.S. Representative","WRITE-IN"," ",1442,0.42,"Congressional"
"CONGRESSIONAL DISTRICT 8 - U.S. Representative","Kim Schrier","(Prefers Democratic Party)",179003,53.27,"Congressional"
"CONGRESSIONAL DISTRICT 8 - U.S. Representative","Matt Larkin","(Prefers Republican Party)",155976,46.42,"Congressional"
"CONGRESSIONAL DISTRICT 8 - U.S. Representative","WRITE-IN"," ",1059,0.32,"Congressional"
"CONGRESSIONAL DISTRICT 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",171746,71.61,"Congressional"
"CONGRESSIONAL DISTRICT 9 - U.S. Representative","Doug Basler","(Prefers Republican Party)",67631,28.2,"Congressional"
"CONGRESSIONAL DISTRICT 9 - U.S. Representative","WRITE-IN"," ",471,0.2,"Congressional"
"CONGRESSIONAL DISTRICT 10 - U.S. Representative","Marilyn Strickland","(Prefers Democratic Party)",152544,56.97,"Congressional"
"CONGRESSIONAL DISTRICT 10 - U.S. Representative","Keith R Swank","(Prefers Republican Party)",114777,42.87,"Congressional"
"CONGRESSIONAL DISTRICT 10 - U.S. Representative","WRITE-IN"," ",427,0.16,"Congressional"
