"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",249944,58.55,"Congressional"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","Jeffrey Beeler, Sr.","(Prefers Republican Party)",176407,41.33,"Congressional"
"CONGRESSIONAL DISTRICT 1 - U.S. Representative","WRITE-IN"," ",511,0.12,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",255252,63.09,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","Timothy S. Hazelo","(Prefers Republican Party)",148384,36.67,"Congressional"
"CONGRESSIONAL DISTRICT 2 - U.S. Representative","WRITE-IN"," ",962,0.24,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)",235579,56.37,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","Carolyn Long","(Prefers Democratic Party)",181347,43.39,"Congressional"
"CONGRESSIONAL DISTRICT 3 - U.S. Representative","WRITE-IN"," ",977,0.23,"Congressional"
"CONGRESSIONAL DISTRICT 4 - U.S. Representative","Dan Newhouse","(Prefers Republican Party)",202108,66.21,"Congressional"
"CONGRESSIONAL DISTRICT 4 - U.S. Representative","Douglas E. McKinley","(Prefers Democratic Party)",102667,33.63,"Congressional"
"CONGRESSIONAL DISTRICT 4 - U.S. Representative","WRITE-IN"," ",488,0.16,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",247815,61.29,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","Dave Wilson","(Prefers Democratic Party)",155737,38.51,"Congressional"
"CONGRESSIONAL DISTRICT 5 - U.S. Representative","WRITE-IN"," ",808,0.2,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","Derek Kilmer","(Prefers Democratic Party)",247429,59.3,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","Elizabeth Kreiselmaier","(Prefers Republican Party)",168783,40.45,"Congressional"
"CONGRESSIONAL DISTRICT 6 - U.S. Representative","WRITE-IN"," ",1004,0.24,"Congressional"
"CONGRESSIONAL DISTRICT 7 - U.S. Representative","Pramila Jayapal","(Prefers Democratic Party)",387109,82.99,"Congressional"
"CONGRESSIONAL DISTRICT 7 - U.S. Representative","Craig Keller","(Prefers Republican Party)",78240,16.77,"Congressional"
"CONGRESSIONAL DISTRICT 7 - U.S. Representative","WRITE-IN"," ",1113,0.24,"Congressional"
"CONGRESSIONAL DISTRICT 8 - U.S. Representative","Kim Schrier","(Prefers Democratic Party)",213123,51.71,"Congressional"
"CONGRESSIONAL DISTRICT 8 - U.S. Representative","Jesse Jensen","(Prefers Republican Party)",198423,48.15,"Congressional"
"CONGRESSIONAL DISTRICT 8 - U.S. Representative","WRITE-IN"," ",566,0.14,"Congressional"
"CONGRESSIONAL DISTRICT 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",258771,74.14,"Congressional"
"CONGRESSIONAL DISTRICT 9 - U.S. Representative","Doug Basler","(Prefers Republican Party)",89697,25.7,"Congressional"
"CONGRESSIONAL DISTRICT 9 - U.S. Representative","WRITE-IN"," ",582,0.17,"Congressional"
"CONGRESSIONAL DISTRICT 10 - U.S. Representative","Marilyn Strickland","(Prefers Democratic Party)",167937,49.33,"Congressional"
"CONGRESSIONAL DISTRICT 10 - U.S. Representative","Beth Doglio","(Prefers Democratic Party)",121040,35.56,"Congressional"
"CONGRESSIONAL DISTRICT 10 - U.S. Representative","WRITE-IN"," ",51430,15.11,"Congressional"
