"Race","Candidate","Party","Votes","PercentageOfTotalVotes","JurisdictionName"
"Congressional District 1 - U.S. Representative","Suzan DelBene","(Prefers Democratic Party)",124151,55.04,"Congressional"
"Congressional District 1 - U.S. Representative","Pedro Celis","(Prefers Republican Party)",101428,44.96,"Congressional"
"Congressional District 2 - U.S. Representative","Rick Larsen","(Prefers Democratic Party)",122173,60.57,"Congressional"
"Congressional District 2 - U.S. Representative","B.J. Guillot","(Prefers Republican Party)",79518,39.43,"Congressional"
"Congressional District 3 - U.S. Representative","Jaime Herrera Beutler","(Prefers Republican Party)",124796,61.53,"Congressional"
"Congressional District 3 - U.S. Representative","Bob Dingethal","(Prefers Democratic Party)",78018,38.47,"Congressional"
"Congressional District 4 - U.S. Representative","Clint Didier","(Prefers Republican Party)",75307,49.19,"Congressional"
"Congressional District 4 - U.S. Representative","Dan Newhouse","(Prefers Republican Party)",77772,50.81,"Congressional"
"Congressional District 5 - U.S. Representative","Cathy McMorris Rodgers","(Prefers Republican Party)",135470,60.68,"Congressional"
"Congressional District 5 - U.S. Representative","Joseph (Joe) Pakootas","(Prefers Democratic Party)",87772,39.32,"Congressional"
"Congressional District 6 - U.S. Representative","Derek Kilmer","(Prefers Democratic Party)",141265,62.98,"Congressional"
"Congressional District 6 - U.S. Representative","Marty McClendon","(Prefers Republican Party)",83025,37.02,"Congressional"
"Congressional District 7 - U.S. Representative","Jim McDermott","(Prefers Democratic Party)",203954,80.97,"Congressional"
"Congressional District 7 - U.S. Representative","Craig Keller","(Prefers Republican Party)",47921,19.03,"Congressional"
"Congressional District 8 - U.S. Representative","Dave Reichert","(Prefers Republican Party)",125741,63.27,"Congressional"
"Congressional District 8 - U.S. Representative","Jason Ritchie","(Prefers Democratic Party)",73003,36.73,"Congressional"
"Congressional District 9 - U.S. Representative","Adam Smith","(Prefers Democratic Party)",118132,70.83,"Congressional"
"Congressional District 9 - U.S. Representative","Doug Basler","(Prefers Republican Party)",48662,29.17,"Congressional"
"Congressional District 10 - U.S. Representative","Denny Heck","(Prefers Democratic Party)",99279,54.7,"Congressional"
"Congressional District 10 - U.S. Representative","Joyce McDonald","(Prefers Republican Party)",82213,45.3,"Congressional"
