district_number,total_votes,registered_voters,turnout_rate,democratic_votes,republican_votes,democratic_share,republican_share,margin,winner,incumbent_votes,challenger_votes,incumbent_share,challenger_share,incumbent_party,is_incumbent_race,B01001B_029E,B01001B_027E,B01001B_028E,B01001B_025E,B01001B_026E,B01001B_022E,B01001B_023E,B01001B_024E,B01001B_020E,B01001B_021E,B01001B_019E,B01001B_017E,B01001B_018E,B01001B_015E,B01001B_016E,B01001B_013E,B01001B_014E,B01001B_010E,B01001B_011E,B01001B_012E,year,democratic_share_lag_1,democratic_share_lag_2,democratic_share_lag_4,B01001B_029E_scaled,B01001B_027E_scaled,B01001B_028E_scaled,B01001B_025E_scaled,B01001B_026E_scaled,B01001B_022E_scaled,B01001B_023E_scaled,B01001B_024E_scaled,B01001B_020E_scaled,B01001B_021E_scaled,B01001B_019E_scaled,B01001B_017E_scaled,B01001B_018E_scaled,B01001B_015E_scaled,B01001B_016E_scaled,B01001B_013E_scaled,B01001B_014E_scaled,B01001B_010E_scaled,B01001B_011E_scaled,B01001B_012E_scaled
1,360658,849273,0.4246667443801934,227213,132538,0.6299957300267843,0.36748942211180674,0.26250630791497764,Democratic,227213,132538,0.6299957300267843,0.36748942211180674,Democratic,True,176,668,384,571,626,93,415,428,334,259,279,4715,377,55,12,667,280,480,841,798,2020,,,,-0.8479824080350015,-0.8872330867516843,-0.9516096625096916,-0.9263911426305769,-1.0033201985164748,-1.1719143288738165,-0.9427092906195267,-0.9675659819251662,-1.0650534744953044,-0.8136975465256363,-0.9071177927577326,-0.9415074612088817,-0.8195376676478291,-0.718249128043216,-1.1286091668495,-1.0237779688449546,-1.012891013725301,-1.0923049570234322,-1.0797938251292198,-0.9261490518317025
2,413220,959048,0.4308647742344492,263750,148167,0.638279850926867,0.3585668651081748,0.2797129858186922,Democratic,263750,148167,0.638279850926867,0.3585668651081748,Democratic,True,455,1347,911,1001,1775,331,1041,1001,667,412,940,10850,699,77,127,1446,455,1201,2903,2283,2020,,,,-0.5726143088981261,-0.4073993425028642,-0.5747793866354718,-0.5250327634556167,-0.359289523602827,-0.4049603134605214,-0.30090829450443835,-0.47218372639892325,-0.6610328095927758,-0.544711465247086,-0.30318474490190456,-0.46904021859986866,-0.4945485925461037,-0.6552531912314521,0.0032808406013066396,-0.46820636471383675,-0.7701300996847701,-0.5518370119149606,-0.07632284154184607,-0.09563495643914319
4,295052,748037,0.39443503463063995,0,289652,0.0,0.9816981413445766,0.9816981413445766,Republican,153477,136175,0.5201693260848935,0.46152881525968303,Republican,True,304,376,272,239,450,114,367,240,601,356,427,4091,239,65,48,580,361,516,767,454,2020,,,,-0.7216486564596608,-1.0935827970913832,-1.0316950342324858,-1.2362771470168252,-1.1019706761359718,-1.104241915749114,-0.9919208685964024,-1.130099776059431,-0.741108977411295,-0.6431638871529607,-0.7718952646447786,-0.9895628091123901,-0.9588186998342828,-0.689614611310596,-0.7742783819083779,-1.0858251184719214,-0.9005273906551124,-1.0653190402080301,-1.1158058778864777,-1.118537502212201
7,419819,966198,0.4345061778227651,352286,66220,0.8391378189172001,0.1577346427865342,0.6814031761306658,Democratic,352286,66220,0.8391378189172001,0.1577346427865342,Democratic,True,1121,1911,1838,1881,2724,609,1117,1796,1257,539,1163,17730,1234,247,52,2440,1211,2432,3103,2023,2020,,,,0.0847159922673182,-0.0088334636275556,0.08807007396301346,0.29635182648383696,0.1726383358341197,0.4908935364760165,-0.22298996270771837,0.21512673283905773,0.05479959969398671,-0.3214354369962633,-0.09943728700198069,0.06080079674650625,0.045417727886887076,-0.1684664067769137,-0.7349082946926977,0.24070014941495796,0.27859704897032367,0.37093142141170876,0.021007030775066996,-0.24104483172672933
9,279298,768619,0.36337639324554816,273381,0,0.9788147426762812,0.0,0.9788147426762812,Democratic,182780,90601,0.6544264548976362,0.32438828777864503,Democratic,True,3166,4609,4234,3318,5718,967,3211,3615,2779,1926,3588,42079,3201,1050,285,4608,2272,4161,6861,5840,2020,,,,2.1030950701702213,1.8977813257440448,1.8013249904613637,1.6376355261917857,1.850817483520335,1.6445470554590402,1.9238651265334876,1.7877276452338844,1.9014045605998384,2.1170200841367377,2.1162021094433796,1.9359605180646577,2.030677077964818,2.130885286852465,1.5583992856206756,1.7868865906938585,1.750421790667486,1.6670050373514416,1.8498353316098635,1.8936839912452563
10,348044,839138,0.4147637218192955,203732,143492,0.5853627702244544,0.4122812058245509,0.17308156439990346,Democratic,203732,143492,0.5853627702244544,0.4122812058245509,Democratic,True,989,2630,2650,2371,3203,626,1856,2203,1633,839,1234,22178,1384,341,236,2874,1482,2833,3884,3326,2020,,,,-0.04556568904475185,0.49926736422944246,0.6686890189532724,0.7537137004273964,0.4411245789008188,0.5456759661483948,0.5346632898945983,0.5669951063105776,0.5109911012055506,0.20598825178520783,-0.034567020136982526,0.40334917410997656,0.19681015417651068,0.1006980505097134,1.076115717228593,0.5502227119218965,0.6545296644273745,0.6715245503832721,0.4010801821726125,0.4876823509645196
