feature,coefficient
B01001B_027E,0.00021143707681571406
B01001B_019E,-0.00014600370292920453
B01001B_025E,7.405116737060403e-05
B01001B_011E,-5.352062676775009e-05
B01001B_028E,3.388327656471178e-05
B01001B_029E,4.95000847905274e-06
B01001B_017E,3.5185023457094017e-06
B01001B_012E,-1.9864999298389814e-07
